timestamp,fps,status,confidence,face_present,avg_ear,eyes_closed_time,gaze_direction,gaze_away_time,yaw,pitch,roll
2025-11-25T11:57:40.829210Z,1.2,distracted,0.6,True,0.414,0.0,right,38.46,6.45,161.7,-0.08
2025-11-25T11:57:41.685021Z,1.2,distracted,0.6,True,0.394,0.0,right,39.31,9.51,163.58,-0.82
2025-11-25T11:57:42.523173Z,1.2,distracted,0.6,True,0.384,0.0,right,40.15,11.53,162.26,-0.3
2025-11-25T11:57:43.363676Z,1.2,distracted,0.6,True,0.381,0.0,right,41.0,10.68,164.92,0.74
2025-11-25T11:57:44.236820Z,1.2,distracted,0.6,True,0.385,0.0,right,41.84,8.9,164.61,0.49
2025-11-25T11:57:45.092517Z,1.2,distracted,0.6,True,0.369,0.0,right,42.72,8.97,163.21,0.6
2025-11-25T11:57:45.922218Z,1.2,distracted,0.6,True,0.369,0.0,right,43.56,10.22,163.25,0.67
2025-11-25T11:57:46.761882Z,1.2,distracted,0.6,True,0.375,0.0,right,44.4,9.49,164.59,4.05
2025-11-25T11:57:47.598909Z,1.2,distracted,0.6,True,0.372,0.0,right,45.23,-27.07,-179.59,12.85
2025-11-25T11:57:48.434617Z,1.2,distracted,0.6,True,0.354,0.0,right,46.07,5.48,163.61,1.62
2025-11-25T11:57:49.274349Z,1.2,distracted,0.6,True,0.325,0.0,right,46.9,30.12,168.98,-15.92
2025-11-25T11:57:50.102281Z,1.2,distracted,0.6,True,0.349,0.0,right,47.74,23.45,167.68,-13.34
2025-11-25T11:57:50.949091Z,1.2,distracted,0.6,True,0.412,0.0,right,48.58,22.0,169.17,-8.2
2025-11-25T11:57:51.779143Z,1.2,distracted,0.6,True,0.433,0.0,right,49.42,18.85,166.6,-8.48
2025-11-25T11:57:52.607605Z,1.2,distracted,0.6,True,0.417,0.0,right,50.25,20.62,169.81,-7.57
2025-11-25T11:57:53.454202Z,1.2,distracted,0.6,True,0.412,0.0,right,51.08,18.48,169.03,-5.62
2025-11-25T11:57:54.286933Z,1.2,distracted,0.6,True,0.422,0.0,right,51.92,18.95,170.32,-5.22
2025-11-25T11:57:55.118640Z,1.2,distracted,0.6,True,0.398,0.0,right,52.75,19.58,166.75,-5.95
2025-11-25T11:57:55.952369Z,1.2,distracted,0.6,True,0.389,0.0,right,53.59,19.54,168.13,-6.34
2025-11-25T11:57:56.781908Z,1.2,distracted,0.6,True,0.401,0.0,right,54.42,19.48,167.45,-5.93
2025-11-25T11:57:57.622538Z,1.2,distracted,0.6,True,0.393,0.0,right,55.26,19.58,167.0,-6.16
2025-11-25T11:57:58.449135Z,1.2,distracted,0.6,True,0.405,0.0,right,56.08,19.39,168.64,-6.12
2025-11-25T11:57:59.282290Z,1.2,distracted,0.6,True,0.426,0.0,right,56.92,20.14,168.66,-5.32
2025-11-25T11:58:00.113730Z,1.2,distracted,0.6,True,0.43,0.0,right,57.75,19.7,167.28,-6.34
